unixtime,price,amount
1474908294,604.32,0.449
1474908297,604.33,0.459
1474908299,604.33,0.22
1474908301,604.33,0.48
1474908423,604.34,0.16630439
1474908461,604.95,0.01996
1474908521,604.33,0.083
1474908680,604.95,0.06595586
1474908749,604.33,1.47298667
1474908749,604.95,0.07737206
1474908784,604.95,0.07971693
1474908827,604.94,0.06985
1474908844,604.95,0.5
1474908920,604.95,0.11974
1474908935,604.06,0.07
1474908935,604.95,0.13725515
1474908935,604.96,0.33779635
1474908950,604.06,0.082
1474908999,604.96,0.0858071
1474908999,604.96,0.1941929
1474909121,604.96,0.11230495
1474909299,604.95,0.1
1474909299,604.96,0.09956
1474909323,604.96,0.66839335
1474909323,604.96,1.13156
1474909324,604.99,0.32829547
1474909325,604.99,0.01996
1474909330,604.94,0.01
1474909332,604.92,0.176
1474909335,604.92,0.167
1474909337,604.92,0.549
1474909339,604.91,0.1
1474909340,604.9,0.1
1474909340,604.6,0.058
1474909340,604.58,0.265
1474909343,604.04,0.01
1474909385,604.95,0.00998
1474909589,604.95,0.99002
1474909590,604.98,0.08187047
1474909598,604.73,10.0
1474909619,604.98,0.02994
1474909672,604.98,0.16373164
1474909691,604.4,8.0
1474909701,604.4,1.38485134
1474909719,604.39,1.07397127
1474909720,604.39,17.92602873
1474909740,604.39,0.171
1474909740,604.39,0.172
1474909740,604.39,0.172
1474909741,604.39,0.171
1474909741,604.39,4.314
1474909775,604.28,0.04410208
1474909806,604.9,1.07443344
1474909806,604.96,1.0
1474909806,604.97,1.65297453
1474909806,604.98,0.53594797
1474909825,604.95,2.9376641
1474909855,604.94,0.02
1474909857,604.95,0.02
1474909859,604.95,0.02
1474909901,604.05,1.07571401
1474909902,604.03,5.7
1474909902,603.88,3.0
1474909902,603.8,1.65491895
1474909902,603.77,16.932
1474909902,603.76,9.99
1474909902,603.75,10.0
1474909902,603.71,12.15
1474909903,603.66,3.78517411
1474909903,603.55,10.0
1474909903,603.4,4.4
1474909903,603.06,3.22618511
1474909905,603.0,4.56
1474909905,603.0,8.270491
1474909923,604.9,0.07657952
1474909925,603.96,0.07657
1474909927,603.0,0.07657
1474909929,603.0,0.07657
1474909944,603.0,4.06446
1474909944,602.95,10.0
1474909944,602.78,20.0
1474909944,602.74,4.0
1474909945,602.65,0.05
1474909945,602.6,10.0
1474909945,602.55,2.0
1474909945,602.49,4.9
1474909945,602.48,4.08048
1474909945,602.15,4.392633
1474909946,602.0,4.54728939
1474909949,602.0,1.95157839
1474909950,602.0,0.7781
1474909950,602.0,9.0
1474909951,602.0,2.0
1474909951,602.0,1.385
1474909952,602.0,0.01648005
1474909953,602.0,9.18
